jako_df.key,jako_df.substrate,jako_polygon_area,jako_df.multiplier,corrected_area,substrate,corrected_mussel_area,"replace_na(substrate, ""unknown"")"
1756,bedrock,546.727405118756,1.4363150708545867,785.2728116212903,bedrock,785.2728116212903,bedrock
1792,boulder,961.0709149502218,1.220774588761456,1173.2509509689532,boulder,577.7380995308868,boulder
1791,boulder,896.9138419888914,1.082392200292394,970.8125469030607,boulder,478.05236840873965,boulder
1681,pebble_granule,4369.1011113952845,1.0025972368271479,4380.448701703333,pebble_granule,1973.7955794427785,pebble_granule
1680,pebble_granule,3299.7736715052743,1.0214030176374123,3370.3987855959704,pebble_granule,1518.675066639138,pebble_granule
1769,pebble_granule,1288.6912149274722,1.0278792673207824,1324.618981802379,pebble_granule,596.8628487101957,pebble_granule
1679,pebble_granule,2270.027847856283,1.0278792673207824,2333.314561052289,pebble_granule,1051.3731080251291,pebble_granule
1682,pebble_granule,6167.7908666771145,1.00095268516332,6173.666829526258,pebble_granule,2781.8055014165784,pebble_granule
1698,pebble_granule,3398.653772700345,1.0018686870561793,3405.0047930138253,pebble_granule,1534.268260194165,pebble_granule
1683,pebble_granule,1255.0346426509786,1.0170302658112655,1276.4082162176715,pebble_granule,575.1394586027747,pebble_granule
1685,pebble_granule,3799.924580992665,1.0075098254588484,3828.4613513527074,pebble_granule,1725.0744400748542,pebble_granule
1686,pebble_granule,2720.7060603676364,1.013905098524599,2758.537746193522,pebble_granule,1242.975315986606,pebble_granule
1689,pebble_granule,2526.3721530651674,1.0086289605801528,2548.1721187847625,pebble_granule,1148.1862261646756,pebble_granule
1786,pebble_granule,37870.74670632533,1.0040138635496085,38022.75471612631,pebble_granule,17132.752895324254,pebble_granule
1785,pebble_granule,6850.642659709789,1.009827572518618,6917.967847247226,pebble_granule,3117.1816600236066,pebble_granule
1784,pebble_granule,1801.2684163711965,1.0069799246935383,1813.8411342703164,pebble_granule,817.3024857572439,pebble_granule
1783,pebble_granule,1133.4041722007096,1.02950343764298,1166.8434915195264,pebble_granule,525.7704592151156,pebble_granule
1782,pebble_granule,5468.895144182257,1.0195911582083184,5576.037134176636,pebble_granule,2512.518281966632,pebble_granule
1781,pebble_granule,4175.130688161356,1.0195911582083184,4256.92633401353,pebble_granule,1918.137376388458,pebble_granule
1780,boulder,1252.0998166445643,1.1114219584796228,1391.6112304270782,boulder,685.264160143054,boulder
1779,pebble_granule,2397.825530692935,1.035276180410083,2482.4116567055617,pebble_granule,1118.555081459438,pebble_granule
1778,pebble_granule,1606.8278337828815,1.0154266118857451,1631.6157431418626,pebble_granule,735.1931640953525,pebble_granule
1777,pebble_granule,11684.078171839938,1.0195911582083184,11912.982795822812,pebble_granule,5367.895935233672,pebble_granule
1776,pebble_granule,1755.9902107790112,1.0086289605801528,1771.1425810869575,pebble_granule,798.0628550113925,pebble_granule
1775,pebble_granule,19006.256147035863,1.0032668473515063,19068.34668459186,pebble_granule,8592.046376138283,pebble_granule
1755,pebble_granule,1064.218582931091,1.0237867836330528,1089.532920101547,pebble_granule,490.9349264876883,pebble_granule
1773,pebble_granule,19417.182072883938,1.0018686870561793,19453.466709691013,pebble_granule,8765.578416999764,pebble_granule
1772,boulder,2595.6272172555327,1.0195911582083184,2646.478560718603,boulder,1303.1922052618581,boulder
1771,pebble_granule,2351.1392870917916,1.0142778095838054,2384.7084061378923,pebble_granule,1074.5307686093258,pebble_granule
1770,pebble_granule,1722.0210811281577,1.0142778095838054,1746.6077702238042,pebble_granule,787.0076630614614,pebble_granule
1804,bedrock,97.08968322127475,1.9999999999999996,194.17936644254945,bedrock,194.17936644254945,bedrock
1803,bedrock,98.52160262013786,1.5976393991275981,157.40199401112503,bedrock,157.40199401112503,bedrock
1802,pebble_granule,135.16982620581985,1.220774588761456,165.01188899936722,pebble_granule,74.35305358919177,pebble_granule
1801,pebble_granule,727.6052685743198,1.0154266118857451,738.8297526586391,pebble_granule,332.9108497929368,pebble_granule
1800,bedrock,847.509428910329,1.1273819468663424,955.4668299525088,bedrock,955.4668299525088,bedrock
1799,boulder,869.6188818315277,1.1620882641587653,1010.5738968672865,boulder,497.6318511648736,boulder
1798,pebble_granule,998.3307606361923,1.0154266118857451,1013.7316218141275,pebble_granule,456.7794603096335,pebble_granule
1797,pebble_granule,1661.789355661138,1.0383729296620199,1725.5570817190162,pebble_granule,777.5223891216431,pebble_granule
1796,pebble_granule,2865.9096078459406,1.0154266118857451,2910.120883065808,pebble_granule,1311.2774799544768,pebble_granule
1793,bedrock,515.4103911817074,1.2867595658931672,663.2092512138013,bedrock,663.2092512138013,bedrock
1790,boulder,1404.178254129365,1.040953113521426,1461.683725575043,boulder,719.7696085662905,boulder
1757,boulder,3523.2805386492983,1.0040138635496085,3537.4225059784276,boulder,1741.9152775064272,boulder
1753,pebble_granule,2130.2957790438086,1.0702512472361092,2279.951714503455,pebble_granule,1027.3282309367123,pebble_granule
1754,pebble_granule,3061.093097165227,1.1759832815222162,3599.7943054493676,pebble_granule,1622.038875660472,pebble_granule
1751,pebble_granule,1525.747936433123,1.0306136293498982,1572.4566182404585,pebble_granule,708.5365297718665,pebble_granule
1750,pebble_granule,8847.685293814284,1.0069799246935383,8909.441470877233,pebble_granule,4014.5239421896613,pebble_granule
1752,pebble_granule,2108.4731385230552,1.0107789675960723,2131.200302160384,pebble_granule,960.302019671082,pebble_granule
1749,boulder,277.0069043710828,1.1697112115344086,324.0180817152953,boulder,159.5546038886543,boulder
1748,pebble_granule,368.95431404058036,1.0154266118857451,374.6460290468557,pebble_granule,168.8125409848837,pebble_granule
1746,pebble_granule,322.3346641622484,1.0069799246935383,324.5845358442178,pebble_granule,146.25522763357137,pebble_granule
1745,boulder,646.475566415349,1.0383729296620199,671.2827278536197,boulder,330.5563972633187,boulder
1743,boulder,887.9356761996023,1.009827572518618,896.6619284493221,boulder,441.5387501166574,boulder
1742,pebble_granule,478.6073075197637,1.0069799246935383,481.94795048402875,pebble_granule,217.16193909929453,pebble_granule
1739,boulder,1192.4917344071437,1.0228173360965906,1219.7012191035178,boulder,600.6113728170498,boulder
1738,boulder,3921.803540346562,1.2302442993938187,4824.776448853854,boulder,2375.8405428268593,boulder
1733,pebble_granule,1140.5433102934621,1.0069799246935383,1148.5042167090294,pebble_granule,517.5069268657767,pebble_granule
1735,boulder,114.95323793892749,1.0485291251408106,120.53181800820708,boulder,59.352880482691376,boulder
